iter	RMSE
0	1751.593486
1	1695.309624
2	1644.356579
3	1595.955173
4	1551.866524
5	1511.479217
6	1474.418921
7	1440.78874
8	1408.724906
9	1379.711884
10	1353.232099
11	1328.69235
12	1305.762841
13	1285.587185
14	1265.922612
15	1247.506233
16	1230.944029
17	1215.33027
18	1201.144527
19	1188.879887
20	1178.224041
21	1167.972505
22	1158.603443
23	1150.223083
24	1142.283063
25	1134.811375
26	1128.466027
27	1122.398567
28	1116.649968
29	1112.332089
30	1107.424951
31	1103.460593
32	1099.364442
33	1096.058635
34	1092.71755
35	1090.024965
36	1086.983268
37	1084.347007
38	1082.086868
39	1080.218424
40	1078.153104
41	1076.210629
42	1074.729604
43	1073.324985
44	1072.131614
45	1070.914596
46	1069.79129
47	1068.872346
48	1067.593934
49	1066.772771
50	1065.795565
51	1065.014045
52	1064.062585
53	1062.800765
54	1062.236356
55	1061.494279
56	1060.468582
57	1060.053689
58	1059.26845
59	1058.735378
60	1058.091887
61	1057.569757
62	1056.985368
63	1056.591164
64	1056.223659
65	1055.799142
66	1055.238215
67	1054.767167
68	1054.394427
69	1053.983963
70	1053.14557
71	1052.689329
72	1052.072827
73	1051.463154
74	1050.821742
75	1050.176389
76	1049.639312
77	1049.10802
78	1048.375395
79	1047.784733
80	1047.321586
81	1046.596734
82	1046.177303
83	1045.942537
84	1045.518989
85	1045.301913
86	1044.888046
87	1044.406436
88	1043.662389
89	1043.398464
90	1042.999145
91	1042.692198
92	1041.883359
93	1041.402221
94	1040.690549
95	1040.558623
96	1040.332528
97	1040.220341
98	1039.826451
99	1039.295708
100	1039.070718
101	1038.564407
102	1037.556748
103	1037.547439
104	1037.369574
105	1037.022917
106	1036.264879
107	1036.00267
108	1035.664547
109	1035.400857
110	1035.130765
111	1034.572714
112	1033.826831
113	1033.288718
114	1032.714232
115	1032.002612
116	1031.59936
117	1031.495206
118	1031.268529
119	1031.040704
120	1030.288207
121	1030.052646
122	1029.72063
123	1029.457236
124	1029.066579
125	1028.933392
126	1028.539235
127	1028.000001
128	1027.630886
129	1027.446056
130	1026.933445
131	1026.631342
132	1026.319928
133	1025.771396
134	1025.388374
135	1024.63726
136	1024.086621
137	1023.582116
138	1022.988647
139	1022.491893
140	1022.060354
141	1021.549513
142	1021.216314
143	1020.644226
144	1020.344121
145	1019.602661
146	1019.28013
147	1018.838881
148	1018.709099
149	1018.169956
150	1017.705061
151	1017.273878
152	1016.700695
153	1016.319944
154	1015.984912
155	1015.335102
156	1014.860011
157	1014.383838
158	1014.099913
159	1013.818341
160	1013.588938
161	1013.244695
162	1012.774372
163	1012.345621
164	1011.859838
165	1011.17762
166	1010.863916
167	1010.44791
168	1009.886806
169	1009.425081
170	1009.010229
171	1008.62471
172	1008.090704
173	1007.583045
174	1007.176404
175	1006.88416
176	1006.244098
177	1005.726329
178	1005.354726
179	1005.093653
180	1004.580953
181	1004.096851
182	1003.723914
183	1003.439622
184	1003.191982
185	1002.884675
186	1002.673811
187	1002.350261
188	1001.546251
189	1001.03933
190	1000.628459
191	1000.114816
192	999.7353803
193	999.3626064
194	998.8150427
195	998.3732775
196	997.8936435
197	997.5211905
198	996.9374588
199	996.5805875
200	995.8653643
201	995.2583893
202	994.910287
203	994.1535752
204	993.7985268
205	993.2668343
206	992.971617
207	992.5668792
208	992.2947698
209	991.7709229
210	991.2034047
211	990.573527
212	989.9160339
213	989.3976489
214	989.0861544
215	988.5777353
216	988.0970275
217	987.7099716
218	987.0333278
219	986.5904242
220	986.1892937
221	985.7400794
222	985.228953
223	984.6671348
224	984.3418155
225	983.9975999
226	983.6145603
227	983.3024226
228	982.9000376
229	982.4702545
230	982.2170216
231	981.4248779
232	980.550424
233	980.2870262
234	979.9339912
235	979.6170515
236	979.2230219
237	978.6185387
238	978.1486223
239	977.7187149
240	977.3624488
241	976.6334747
242	976.3130965
243	976.0778201
244	975.7632873
245	975.1977997
246	974.8276913
247	974.3797222
248	973.8046089
249	973.500986
250	973.1990227
251	972.7336242
252	972.4666103
253	971.8224414
254	971.479851
255	971.043254
256	970.5969888
257	970.251738
258	969.7331816
259	969.492238
260	969.2555851
261	968.9125952
262	968.601195
263	968.1481357
264	967.8317664
265	967.4612163
266	967.2276494
267	966.9288251
268	966.7448506
269	966.294522
270	965.7988581
271	965.3650253
272	965.0340888
273	964.5917703
274	964.2998926
275	963.9860787
276	963.5469973
277	963.0129992
278	962.3175774
279	961.9505737
280	961.4781948
281	961.1272453
282	960.518486
283	960.2458318
284	959.875588
285	959.376835
286	958.9017571
287	958.4343142
288	958.0097597
289	957.7249669
290	957.1829545
291	956.7220506
292	956.3839499
293	955.9345836
294	955.7276331
295	955.3213514
296	955.0745791
297	954.8069501
298	954.2807881
299	954.0718532
300	953.4645498
301	953.090741
302	952.7305933
303	952.5847352
304	952.3298364
305	951.8638426
306	951.7029611
307	951.3592107
308	950.8668248
309	950.542048
310	950.2095612
311	949.8442758
312	949.6456159
313	949.0912465
314	948.7200193
315	948.4176731
316	947.9899801
317	947.7201437
318	947.2726496
319	946.892476
320	946.5690596
321	946.3806059
322	946.1786755
323	945.6523063
324	945.3772095
325	945.2548717
326	944.9576144
327	944.5153856
328	944.2694322
329	944.0796755
330	943.6694619
331	943.2226087
332	942.724252
333	942.2112912
334	942.021707
335	941.6742469
336	941.4646464
337	941.2173094
338	940.8951002
339	940.5266723
340	940.2210015
341	939.9499419
342	939.6266679
343	939.3009252
344	939.1011147
345	938.9304836
346	938.7653062
347	938.2774098
348	937.9422605
349	937.4136033
350	937.2962366
351	936.8880905
352	936.5671087
353	936.3945433
354	936.2229245
355	935.8346518
356	935.4539343
357	935.1104247
358	934.937134
359	934.5438949
